date,fed_total_assets_usd_mn
2022-01-05,8765721.000
2022-01-12,8788278.000
2022-01-19,8867834.000
2022-01-26,8860485.000
2022-02-02,8873211.000
2022-02-09,8878009.000
2022-02-16,8911033.000
2022-02-23,8928129.000
2022-03-02,8904455.000
2022-03-09,8910748.000
2022-03-16,8954306.000
2022-03-23,8962474.000
2022-03-30,8937142.000
2022-04-06,8937592.000
2022-04-13,8965487.000
2022-04-20,8955851.000
2022-04-27,8939199.000
2022-05-04,8939972.000
2022-05-11,8942008.000
2022-05-18,8945898.000
2022-05-25,8914281.000
2022-06-01,8915050.000
2022-06-08,8918254.000
2022-06-15,8932420.000
2022-06-22,8934346.000
2022-06-29,8913553.000
2022-07-06,8891851.000
2022-07-13,8895867.000
2022-07-20,8899213.000
2022-07-27,8890004.000
2022-08-03,8874620.000
2022-08-10,8879138.000
2022-08-17,8849762.000
2022-08-24,8851436.000
2022-08-31,8826093.000
2022-09-07,8822401.000
2022-09-14,8832759.000
2022-09-21,8816802.000
2022-09-28,8795567.000
2022-10-05,8759053.000
2022-10-12,8758969.000
2022-10-19,8743922.000
2022-10-26,8723090.000
2022-11-02,8676870.000
2022-11-09,8678886.000
2022-11-16,8625620.000
2022-11-23,8621390.000
2022-11-30,8584576.000
2022-12-07,8582735.000
2022-12-14,8583413.000
2022-12-21,8564411.000
2022-12-28,8551169.000
2023-01-04,8507429.000
2023-01-11,8508587.000
2023-01-18,8489039.000
2023-01-25,8470557.000
2023-02-01,8433610.000
2023-02-08,8435369.000
2023-02-15,8384767.000
2023-02-22,8382190.000
2023-03-01,8339684.000
2023-03-08,8342283.000
2023-03-15,8639300.000
2023-03-22,8733787.000
2023-03-29,8705942.000
2023-04-05,8632384.000
2023-04-12,8614797.000
2023-04-19,8593263.000
2023-04-26,8562768.000
2023-05-03,8503994.000
2023-05-10,8503017.000
2023-05-17,8456760.000
2023-05-24,8436255.000
2023-05-31,8385854.000
2023-06-07,8389325.000
2023-06-14,8388323.000
2023-06-21,8362060.000
2023-06-28,8340914.000
2023-07-05,8298312.000
2023-07-12,8296923.000
2023-07-19,8274552.000
2023-07-26,8243344.000
2023-08-02,8206764.000
2023-08-09,8208241.000
2023-08-16,8145727.000
2023-08-23,8139066.000
2023-08-30,8121316.000
2023-09-06,8101318.000
2023-09-13,8098779.000
2023-09-20,8024090.000
2023-09-27,8002064.000
2023-10-04,7955782.000
2023-10-11,7952054.000
2023-10-18,7933162.000
2023-10-25,7907830.000
2023-11-01,7866664.000
2023-11-08,7860691.000
2023-11-15,7814991.000
2023-11-22,7810814.000
2023-11-29,7796145.000
2023-12-06,7737385.000
2023-12-13,7739566.000
2023-12-20,7724063.000
2023-12-27,7712781.000
2024-01-03,7681024.000
2024-01-10,7686710.000
2024-01-17,7673741.000
2024-01-24,7677230.000
2024-01-31,7630124.000
2024-02-07,7631300.000
2024-02-14,7633874.000
2024-02-21,7581683.000
2024-02-28,7567807.000
2024-03-06,7538857.000
2024-03-13,7541969.000
2024-03-20,7514348.000
2024-03-27,7484739.000
2024-04-03,7439558.000
2024-04-10,7438176.000
2024-04-17,7405506.000
2024-04-24,7402434.000
2024-05-01,7362474.000
2024-05-08,7353408.000
2024-05-15,7304272.000
2024-05-22,7299566.000
2024-05-29,7284319.000
2024-06-05,7255687.000
2024-06-12,7258974.000
2024-06-19,7252542.000
2024-06-26,7231163.000
2024-07-03,7221520.000
2024-07-10,7224079.000
2024-07-17,7208247.000
2024-07-24,7205455.000
2024-07-31,7178391.000
2024-08-07,7175256.000
2024-08-14,7177688.000
2024-08-21,7139952.000
2024-08-28,7123238.000
2024-09-04,7112567.000
2024-09-11,7115001.000
2024-09-18,7109137.000
2024-09-25,7080059.000
2024-10-02,7046925.000
2024-10-09,7046840.000
2024-10-16,7039284.000
2024-10-23,7029408.000
2024-10-30,7013490.000
2024-11-06,6994299.000
2024-11-13,6967108.000
2024-11-20,6923731.000
2024-11-27,6905140.000
2024-12-04,6895827.000
2024-12-11,6897485.000
2024-12-18,6889332.000
2024-12-25,6885963.000
2025-01-01,6852491.000
2025-01-08,6853554.000
2025-01-15,6834070.000
2025-01-22,6831760.000
2025-01-29,6818186.000
2025-02-05,6810935.000
2025-02-12,6813513.000
2025-02-19,6782332.000
2025-02-26,6766101.000
2025-03-05,6756764.000
2025-03-12,6759571.000
2025-03-19,6755982.000
2025-03-26,6740253.000
2025-04-02,6723452.000
2025-04-09,6727416.000
2025-04-16,6727113.000
2025-04-23,6726930.000
2025-04-30,6709277.000
2025-05-07,6710889.000
2025-05-14,6713270.000
2025-05-21,6688726.000
2025-05-28,6673244.000
2025-06-04,6672885.000
2025-06-11,6677155.000
2025-06-18,6681056.000
2025-06-25,6662200.000
2025-07-02,6659598.000
2025-07-09,6661912.000
2025-07-16,6659273.000
2025-07-23,6657715.000
2025-07-30,6642578.000
2025-08-06,6640843.000
