date,net_liquidity_usd_mn,fed_total_assets_usd_mn,fed_total_assets_date,tga_usd_mn,tga_date,rrp_usd_mn,rrp_date
2022-04-18,8122495.621,8965487.000,2022-04-13,841253.000,2022-04-18,1738.379,2022-04-18
2022-04-19,8070318.708,8965487.000,2022-04-13,893351.000,2022-04-19,1817.292,2022-04-19
2022-04-20,8046458.440,8955851.000,2022-04-20,907526.000,2022-04-20,1866.560,2022-04-20
2022-04-21,8035119.300,8955851.000,2022-04-20,918877.000,2022-04-21,1854.700,2022-04-21
2022-04-22,8019847.969,8955851.000,2022-04-20,934238.000,2022-04-22,1765.031,2022-04-22
2022-04-25,7995776.391,8955851.000,2022-04-20,958291.000,2022-04-25,1783.609,2022-04-25
2022-04-26,7981038.657,8955851.000,2022-04-20,972993.000,2022-04-26,1819.343,2022-04-26
2022-04-27,7979976.838,8939199.000,2022-04-27,957419.000,2022-04-27,1803.162,2022-04-27
2022-04-28,7983447.584,8939199.000,2022-04-27,953933.000,2022-04-28,1818.416,2022-04-28
2022-04-29,8014052.198,8939199.000,2022-04-27,923240.000,2022-04-29,1906.802,2022-04-29
2022-05-02,7962384.698,8939199.000,2022-04-27,975018.000,2022-05-02,1796.302,2022-05-02
2022-05-03,7982140.748,8939199.000,2022-04-27,955262.000,2022-05-03,1796.252,2022-05-03
2022-05-04,7973744.344,8939972.000,2022-05-04,964412.000,2022-05-04,1815.656,2022-05-04
2022-05-05,7994646.238,8939972.000,2022-05-04,943481.000,2022-05-05,1844.762,2022-05-05
2022-05-06,7987410.134,8939972.000,2022-05-04,950700.000,2022-05-06,1861.866,2022-05-06
2022-05-09,7975185.005,8939972.000,2022-05-04,962928.000,2022-05-09,1858.995,2022-05-09
2022-05-10,7996341.775,8939972.000,2022-05-04,941766.000,2022-05-10,1864.225,2022-05-10
2022-05-11,8020800.881,8942008.000,2022-05-11,919331.000,2022-05-11,1876.119,2022-05-11
2022-05-12,8046304.931,8942008.000,2022-05-11,893803.000,2022-05-12,1900.069,2022-05-12
2022-05-13,8059350.713,8942008.000,2022-05-11,880792.000,2022-05-13,1865.287,2022-05-13
2022-05-16,8025603.848,8942008.000,2022-05-11,914571.000,2022-05-16,1833.152,2022-05-16
2022-05-17,8048859.517,8942008.000,2022-05-11,891271.000,2022-05-17,1877.483,2022-05-17
2022-05-18,8077198.627,8945898.000,2022-05-18,866726.000,2022-05-18,1973.373,2022-05-18
2022-05-19,8118734.995,8945898.000,2022-05-18,825182.000,2022-05-19,1981.005,2022-05-19
2022-05-20,8121571.013,8945898.000,2022-05-18,822339.000,2022-05-20,1987.987,2022-05-20
2022-05-23,8105712.342,8945898.000,2022-05-18,838141.000,2022-05-23,2044.658,2022-05-23
2022-05-24,8125222.135,8945898.000,2022-05-18,818688.000,2022-05-24,1987.865,2022-05-24
2022-05-25,8110571.250,8914281.000,2022-05-25,801714.000,2022-05-25,1995.750,2022-05-25
2022-05-26,8149599.298,8914281.000,2022-05-25,762674.000,2022-05-26,2007.702,2022-05-26
2022-05-27,8129965.312,8914281.000,2022-05-25,782309.000,2022-05-27,2006.688,2022-05-27
2022-05-31,8058062.462,8914281.000,2022-05-25,854240.000,2022-05-31,1978.538,2022-05-31
2022-06-01,8132509.985,8915050.000,2022-06-01,780575.000,2022-06-01,1965.015,2022-06-01
2022-06-02,8155505.761,8915050.000,2022-06-01,757559.000,2022-06-02,1985.239,2022-06-02
2022-06-03,8181237.772,8915050.000,2022-06-01,731781.000,2022-06-03,2031.228,2022-06-03
2022-06-06,8188455.907,8915050.000,2022-06-01,724554.000,2022-06-06,2040.093,2022-06-06
2022-06-07,8210622.605,8915050.000,2022-06-01,702336.000,2022-06-07,2091.395,2022-06-07
2022-06-08,8232221.723,8918254.000,2022-06-08,683892.000,2022-06-08,2140.277,2022-06-08
2022-06-09,8285085.682,8918254.000,2022-06-08,631026.000,2022-06-09,2142.318,2022-06-09
2022-06-10,8288698.115,8918254.000,2022-06-08,627393.000,2022-06-10,2162.885,2022-06-10
2022-06-13,8262323.380,8918254.000,2022-06-08,653718.000,2022-06-13,2212.620,2022-06-13
2022-06-14,8254803.143,8918254.000,2022-06-08,661227.000,2022-06-14,2223.857,2022-06-14
2022-06-15,8160320.076,8932420.000,2022-06-15,769937.000,2022-06-15,2162.924,2022-06-15
2022-06-16,8174353.618,8932420.000,2022-06-15,755888.000,2022-06-16,2178.382,2022-06-16
2022-06-17,8167863.721,8932420.000,2022-06-15,762327.000,2022-06-17,2229.279,2022-06-17
2022-06-21,8172498.373,8932420.000,2022-06-15,757733.000,2022-06-21,2188.627,2022-06-21
2022-06-22,8187034.542,8934346.000,2022-06-22,745052.000,2022-06-22,2259.458,2022-06-22
2022-06-23,8196921.558,8934346.000,2022-06-22,735139.000,2022-06-23,2285.442,2022-06-23
2022-06-24,8173660.016,8934346.000,2022-06-22,758505.000,2022-06-24,2180.984,2022-06-24
2022-06-27,8163538.058,8934346.000,2022-06-22,768652.000,2022-06-27,2155.942,2022-06-27
2022-06-28,8174890.216,8934346.000,2022-06-22,757242.000,2022-06-28,2213.784,2022-06-28
2022-06-29,8151481.024,8913553.000,2022-06-29,759845.000,2022-06-29,2226.976,2022-06-29
2022-06-30,8128817.257,8913553.000,2022-06-29,782406.000,2022-06-30,2329.743,2022-06-30
2022-07-01,8225543.915,8913553.000,2022-06-29,685842.000,2022-07-01,2167.085,2022-07-01
2022-07-05,8221932.720,8913553.000,2022-06-29,689482.000,2022-07-05,2138.280,2022-07-05
2022-07-06,8201739.974,8891851.000,2022-07-06,687943.000,2022-07-06,2168.026,2022-07-06
2022-07-07,8223634.543,8891851.000,2022-07-06,666044.000,2022-07-07,2172.457,2022-07-07
2022-07-08,8231610.079,8891851.000,2022-07-06,658096.000,2022-07-08,2144.921,2022-07-08
2022-07-11,8223894.734,8891851.000,2022-07-06,665792.000,2022-07-11,2164.266,2022-07-11
2022-07-12,8246563.868,8891851.000,2022-07-06,643141.000,2022-07-12,2146.132,2022-07-12
2022-07-13,8274971.710,8895867.000,2022-07-13,618740.000,2022-07-13,2155.290,2022-07-13
2022-07-14,8298387.879,8895867.000,2022-07-13,595272.000,2022-07-14,2207.121,2022-07-14
2022-07-15,8286879.250,8895867.000,2022-07-13,606834.000,2022-07-15,2153.750,2022-07-15
2022-07-18,8265017.625,8895867.000,2022-07-13,628659.000,2022-07-18,2190.375,2022-07-18
2022-07-19,8257293.179,8895867.000,2022-07-13,636362.000,2022-07-19,2211.821,2022-07-19
2022-07-20,8280624.796,8899213.000,2022-07-20,616348.000,2022-07-20,2240.204,2022-07-20
2022-07-21,8302906.244,8899213.000,2022-07-20,594035.000,2022-07-21,2271.756,2022-07-21
2022-07-22,8307662.041,8899213.000,2022-07-20,589322.000,2022-07-22,2228.959,2022-07-22
2022-07-25,8291148.633,8899213.000,2022-07-20,605872.000,2022-07-25,2192.367,2022-07-25
2022-07-26,8259795.526,8899213.000,2022-07-20,637228.000,2022-07-26,2189.474,2022-07-26
2022-07-27,8272300.006,8890004.000,2022-07-27,615515.000,2022-07-27,2188.994,2022-07-27
2022-07-28,8290747.117,8890004.000,2022-07-27,597017.000,2022-07-28,2239.883,2022-07-28
2022-07-29,8268430.800,8890004.000,2022-07-27,619273.000,2022-07-29,2300.200,2022-07-29
2022-08-01,8336819.115,8890004.000,2022-07-27,551023.000,2022-08-01,2161.885,2022-08-01
2022-08-02,8301477.987,8890004.000,2022-07-27,586370.000,2022-08-02,2156.013,2022-08-02
2022-08-03,8305860.762,8874620.000,2022-08-03,566577.000,2022-08-03,2182.238,2022-08-03
2022-08-04,8318026.454,8874620.000,2022-08-03,554402.000,2022-08-04,2191.546,2022-08-04
2022-08-05,8323576.073,8874620.000,2022-08-03,548849.000,2022-08-05,2194.927,2022-08-05
2022-08-08,8316911.308,8874620.000,2022-08-03,555513.000,2022-08-08,2195.692,2022-08-08
2022-08-09,8289178.432,8874620.000,2022-08-03,583255.000,2022-08-09,2186.568,2022-08-09
2022-08-10,8315820.354,8879138.000,2022-08-10,561140.000,2022-08-10,2177.646,2022-08-10
2022-08-11,8329960.753,8879138.000,2022-08-10,546978.000,2022-08-11,2199.247,2022-08-11
2022-08-12,8328510.807,8879138.000,2022-08-10,548414.000,2022-08-12,2213.193,2022-08-12
2022-08-15,8351041.143,8879138.000,2022-08-10,525921.000,2022-08-15,2175.857,2022-08-15
2022-08-16,8317145.668,8879138.000,2022-08-10,559827.000,2022-08-16,2165.332,2022-08-16
2022-08-17,8308284.369,8849762.000,2022-08-17,539278.000,2022-08-17,2199.631,2022-08-17
2022-08-18,8317044.839,8849762.000,2022-08-17,530499.000,2022-08-18,2218.161,2022-08-18
2022-08-19,8318259.320,8849762.000,2022-08-17,529281.000,2022-08-19,2221.680,2022-08-19
2022-08-22,8304332.335,8849762.000,2022-08-17,543194.000,2022-08-22,2235.665,2022-08-22
2022-08-23,8292372.282,8849762.000,2022-08-17,555139.000,2022-08-23,2250.718,2022-08-23
2022-08-24,8319002.928,8851436.000,2022-08-24,530196.000,2022-08-24,2237.072,2022-08-24
2022-08-25,8269215.093,8851436.000,2022-08-24,580033.000,2022-08-25,2187.907,2022-08-25
2022-08-26,8249144.548,8851436.000,2022-08-24,600109.000,2022-08-26,2182.452,2022-08-26
2022-08-29,8238831.812,8851436.000,2022-08-24,610399.000,2022-08-29,2205.188,2022-08-29
2022-08-30,8222165.025,8851436.000,2022-08-24,627082.000,2022-08-30,2188.975,2022-08-30
2022-08-31,8153930.975,8826093.000,2022-08-31,669911.000,2022-08-31,2251.025,2022-08-31
2022-09-01,8225060.844,8826093.000,2022-08-31,598859.000,2022-09-01,2173.156,2022-09-01
2022-09-02,8249496.587,8826093.000,2022-08-31,574423.000,2022-09-02,2173.413,2022-09-02
2022-09-06,8234308.204,8826093.000,2022-08-31,589596.000,2022-09-06,2188.796,2022-09-06
2022-09-07,8237273.013,8822401.000,2022-09-07,582921.000,2022-09-07,2206.987,2022-09-07
2022-09-08,8238405.534,8822401.000,2022-09-07,581785.000,2022-09-08,2210.466,2022-09-08
2022-09-09,8235191.286,8822401.000,2022-09-07,585000.000,2022-09-09,2209.714,2022-09-09
2022-09-12,8218238.454,8822401.000,2022-09-07,601944.000,2022-09-12,2218.546,2022-09-12
2022-09-13,8220266.281,8822401.000,2022-09-07,599932.000,2022-09-13,2202.719,2022-09-13
2022-09-14,8212536.421,8832759.000,2022-09-14,617997.000,2022-09-14,2225.579,2022-09-14
2022-09-15,8153130.812,8832759.000,2022-09-14,677452.000,2022-09-15,2176.188,2022-09-15
2022-09-16,8137601.167,8832759.000,2022-09-14,692971.000,2022-09-16,2186.833,2022-09-16
2022-09-19,8125543.458,8832759.000,2022-09-14,704998.000,2022-09-19,2217.542,2022-09-19
2022-09-20,8134697.130,8832759.000,2022-09-14,695823.000,2022-09-20,2238.870,2022-09-20
2022-09-21,8124200.100,8816802.000,2022-09-21,690286.000,2022-09-21,2315.900,2022-09-21
2022-09-22,8132415.773,8816802.000,2022-09-21,682027.000,2022-09-22,2359.227,2022-09-22
2022-09-23,8116756.639,8816802.000,2022-09-21,697726.000,2022-09-23,2319.361,2022-09-23
2022-09-26,8108584.989,8816802.000,2022-09-21,705918.000,2022-09-26,2299.011,2022-09-26
2022-09-27,8130531.889,8816802.000,2022-09-21,683943.000,2022-09-27,2327.111,2022-09-27
2022-09-28,8131280.202,8795567.000,2022-09-28,661920.000,2022-09-28,2366.798,2022-09-28
2022-09-29,8134561.237,8795567.000,2022-09-28,658634.000,2022-09-29,2371.763,2022-09-29
2022-09-30,8157147.090,8795567.000,2022-09-28,635994.000,2022-09-30,2425.910,2022-09-30
2022-10-03,8162339.477,8795567.000,2022-09-28,630975.000,2022-10-03,2252.523,2022-10-03
2022-10-04,8175483.384,8795567.000,2022-09-28,617850.000,2022-10-04,2233.616,2022-10-04
2022-10-05,8134691.201,8759053.000,2022-10-05,622131.000,2022-10-05,2230.799,2022-10-05
2022-10-06,8144420.199,8759053.000,2022-10-05,612400.000,2022-10-06,2232.801,2022-10-06
2022-10-07,8144971.050,8759053.000,2022-10-05,611855.000,2022-10-07,2226.950,2022-10-07
2022-10-11,8142049.521,8759053.000,2022-10-05,614781.000,2022-10-11,2222.479,2022-10-11
2022-10-12,8173208.794,8758969.000,2022-10-12,583513.000,2022-10-12,2247.206,2022-10-12
2022-10-13,8178441.900,8758969.000,2022-10-12,578283.000,2022-10-13,2244.100,2022-10-13
2022-10-14,8181764.948,8758969.000,2022-10-12,574982.000,2022-10-14,2222.052,2022-10-14
2022-10-17,8105478.699,8758969.000,2022-10-12,651318.000,2022-10-17,2172.301,2022-10-17
2022-10-18,8101512.275,8758969.000,2022-10-12,655230.000,2022-10-18,2226.725,2022-10-18
2022-10-19,8101067.165,8743922.000,2022-10-19,640613.000,2022-10-19,2241.835,2022-10-19
2022-10-20,8106195.929,8743922.000,2022-10-19,635492.000,2022-10-20,2234.071,2022-10-20
2022-10-21,8117072.191,8743922.000,2022-10-19,624584.000,2022-10-21,2265.809,2022-10-21
2022-10-24,8104894.956,8743922.000,2022-10-19,636785.000,2022-10-24,2242.044,2022-10-24
2022-10-25,8082243.384,8743922.000,2022-10-19,659483.000,2022-10-25,2195.616,2022-10-25
2022-10-26,8084576.144,8723090.000,2022-10-26,636327.000,2022-10-26,2186.856,2022-10-26
2022-10-27,8095575.515,8723090.000,2022-10-26,625362.000,2022-10-27,2152.485,2022-10-27
2022-10-28,8099279.710,8723090.000,2022-10-26,621627.000,2022-10-28,2183.290,2022-10-28
2022-10-31,8124344.541,8723090.000,2022-10-26,596470.000,2022-10-31,2275.459,2022-10-31
2022-11-01,8169880.490,8723090.000,2022-10-26,551009.000,2022-11-01,2200.510,2022-11-01
2022-11-02,8122551.139,8676870.000,2022-11-02,552089.000,2022-11-02,2229.861,2022-11-02
2022-11-03,8149767.209,8676870.000,2022-11-02,524883.000,2022-11-03,2219.791,2022-11-03
2022-11-04,8149945.160,8676870.000,2022-11-02,524694.000,2022-11-04,2230.840,2022-11-04
2022-11-07,8143864.683,8676870.000,2022-11-02,530764.000,2022-11-07,2241.317,2022-11-07
2022-11-08,8129352.445,8676870.000,2022-11-02,545285.000,2022-11-08,2232.555,2022-11-08
2022-11-09,8159308.188,8678886.000,2022-11-09,517340.000,2022-11-09,2237.812,2022-11-09
2022-11-10,8166135.414,8678886.000,2022-11-09,510550.000,2022-11-10,2200.586,2022-11-10
2022-11-14,8152584.982,8678886.000,2022-11-09,524136.000,2022-11-14,2165.018,2022-11-14
2022-11-15,8194445.426,8678886.000,2022-11-09,482354.000,2022-11-15,2086.574,2022-11-15
2022-11-16,8151335.930,8625620.000,2022-11-16,472185.000,2022-11-16,2099.070,2022-11-16
2022-11-17,8158137.561,8625620.000,2022-11-16,465368.000,2022-11-17,2114.439,2022-11-17
2022-11-18,8153896.587,8625620.000,2022-11-16,469610.000,2022-11-18,2113.413,2022-11-18
2022-11-21,8146730.574,8625620.000,2022-11-16,476764.000,2022-11-21,2125.426,2022-11-21
2022-11-22,8110914.068,8625620.000,2022-11-16,512602.000,2022-11-22,2103.932,2022-11-22
2022-11-23,8126566.826,8621390.000,2022-11-23,492754.000,2022-11-23,2069.174,2022-11-23
2022-11-25,8108826.934,8621390.000,2022-11-23,510532.000,2022-11-25,2031.066,2022-11-25
2022-11-28,8102210.086,8621390.000,2022-11-23,517125.000,2022-11-28,2054.914,2022-11-28
2022-11-29,8113273.623,8621390.000,2022-11-23,506052.000,2022-11-29,2064.377,2022-11-29
2022-11-30,8049669.087,8584576.000,2022-11-30,532791.000,2022-11-30,2115.913,2022-11-30
2022-12-01,8124117.714,8584576.000,2022-11-30,458408.000,2022-12-01,2050.286,2022-12-01
2022-12-02,8147587.237,8584576.000,2022-11-30,434939.000,2022-12-02,2049.763,2022-12-02
2022-12-05,8141646.353,8584576.000,2022-11-30,440836.000,2022-12-05,2093.647,2022-12-05
2022-12-06,8171033.535,8584576.000,2022-11-30,411431.000,2022-12-06,2111.465,2022-12-06
2022-12-07,8169730.451,8582735.000,2022-12-07,410853.000,2022-12-07,2151.549,2022-12-07
2022-12-08,8221765.027,8582735.000,2022-12-07,358794.000,2022-12-08,2175.973,2022-12-08
2022-12-09,8222879.252,8582735.000,2022-12-07,357709.000,2022-12-09,2146.748,2022-12-09
2022-12-12,8209679.483,8582735.000,2022-12-07,370897.000,2022-12-12,2158.517,2022-12-12
2022-12-13,8236855.324,8582735.000,2022-12-07,343699.000,2022-12-13,2180.676,2022-12-13
2022-12-14,8239116.136,8583413.000,2022-12-14,342104.000,2022-12-14,2192.864,2022-12-14
2022-12-15,8133183.005,8583413.000,2022-12-14,448106.000,2022-12-15,2123.995,2022-12-15
2022-12-16,8113742.460,8583413.000,2022-12-14,467544.000,2022-12-16,2126.540,2022-12-16
2022-12-19,8098890.235,8583413.000,2022-12-14,482388.000,2022-12-19,2134.765,2022-12-19
2022-12-20,8130840.592,8583413.000,2022-12-14,450413.000,2022-12-20,2159.408,2022-12-20
2022-12-21,8127282.035,8564411.000,2022-12-21,434922.000,2022-12-21,2206.965,2022-12-21
2022-12-22,8132504.102,8564411.000,2022-12-21,429684.000,2022-12-22,2222.898,2022-12-22
2022-12-23,8130941.652,8564411.000,2022-12-21,431253.000,2022-12-23,2216.348,2022-12-23
2022-12-27,8131212.741,8564411.000,2022-12-21,430977.000,2022-12-27,2221.259,2022-12-27
2022-12-28,8139066.997,8551169.000,2022-12-28,409809.000,2022-12-28,2293.003,2022-12-28
2022-12-29,8135960.681,8551169.000,2022-12-28,412900.000,2022-12-29,2308.319,2022-12-29
2022-12-30,8101930.284,8551169.000,2022-12-28,446685.000,2022-12-30,2553.716,2022-12-30
2023-01-03,8162866.728,8551169.000,2022-12-28,386114.000,2023-01-03,2188.272,2023-01-03
2023-01-04,8125579.458,8507429.000,2023-01-04,379620.000,2023-01-04,2229.542,2023-01-04
2023-01-05,8125533.514,8507429.000,2023-01-04,379653.000,2023-01-05,2242.486,2023-01-05
2023-01-06,8129526.735,8507429.000,2023-01-04,375694.000,2023-01-06,2208.265,2023-01-06
2023-01-09,8120009.879,8507429.000,2023-01-04,385220.000,2023-01-09,2199.121,2023-01-09
2023-01-10,8137236.058,8507429.000,2023-01-04,368000.000,2023-01-10,2192.942,2023-01-10
2023-01-11,8159961.830,8508587.000,2023-01-11,346426.000,2023-01-11,2199.170,2023-01-11
2023-01-12,8196021.011,8508587.000,2023-01-11,310363.000,2023-01-12,2202.989,2023-01-12
2023-01-13,8184835.219,8508587.000,2023-01-11,321572.000,2023-01-13,2179.781,2023-01-13
2023-01-17,8107519.672,8508587.000,2023-01-11,398974.000,2023-01-17,2093.328,2023-01-17
