date,tga_usd_mn
2022-04-18,841253.000
2022-04-19,893351.000
2022-04-20,907526.000
2022-04-21,918877.000
2022-04-22,934238.000
2022-04-25,958291.000
2022-04-26,972993.000
2022-04-27,957419.000
2022-04-28,953933.000
2022-04-29,923240.000
2022-05-02,975018.000
2022-05-03,955262.000
2022-05-04,964412.000
2022-05-05,943481.000
2022-05-06,950700.000
2022-05-09,962928.000
2022-05-10,941766.000
2022-05-11,919331.000
2022-05-12,893803.000
2022-05-13,880792.000
2022-05-16,914571.000
2022-05-17,891271.000
2022-05-18,866726.000
2022-05-19,825182.000
2022-05-20,822339.000
2022-05-23,838141.000
2022-05-24,818688.000
2022-05-25,801714.000
2022-05-26,762674.000
2022-05-27,782309.000
2022-05-31,854240.000
2022-06-01,780575.000
2022-06-02,757559.000
2022-06-03,731781.000
2022-06-06,724554.000
2022-06-07,702336.000
2022-06-08,683892.000
2022-06-09,631026.000
2022-06-10,627393.000
2022-06-13,653718.000
2022-06-14,661227.000
2022-06-15,769937.000
2022-06-16,755888.000
2022-06-17,762327.000
2022-06-21,757733.000
2022-06-22,745052.000
2022-06-23,735139.000
2022-06-24,758505.000
2022-06-27,768652.000
2022-06-28,757242.000
2022-06-29,759845.000
2022-06-30,782406.000
2022-07-01,685842.000
2022-07-05,689482.000
2022-07-06,687943.000
2022-07-07,666044.000
2022-07-08,658096.000
2022-07-11,665792.000
2022-07-12,643141.000
2022-07-13,618740.000
2022-07-14,595272.000
2022-07-15,606834.000
2022-07-18,628659.000
2022-07-19,636362.000
2022-07-20,616348.000
2022-07-21,594035.000
2022-07-22,589322.000
2022-07-25,605872.000
2022-07-26,637228.000
2022-07-27,615515.000
2022-07-28,597017.000
2022-07-29,619273.000
2022-08-01,551023.000
2022-08-02,586370.000
2022-08-03,566577.000
2022-08-04,554402.000
2022-08-05,548849.000
2022-08-08,555513.000
2022-08-09,583255.000
2022-08-10,561140.000
2022-08-11,546978.000
2022-08-12,548414.000
2022-08-15,525921.000
2022-08-16,559827.000
2022-08-17,539278.000
2022-08-18,530499.000
2022-08-19,529281.000
2022-08-22,543194.000
2022-08-23,555139.000
2022-08-24,530196.000
2022-08-25,580033.000
2022-08-26,600109.000
2022-08-29,610399.000
2022-08-30,627082.000
2022-08-31,669911.000
2022-09-01,598859.000
2022-09-02,574423.000
2022-09-06,589596.000
2022-09-07,582921.000
2022-09-08,581785.000
2022-09-09,585000.000
2022-09-12,601944.000
2022-09-13,599932.000
2022-09-14,617997.000
2022-09-15,677452.000
2022-09-16,692971.000
2022-09-19,704998.000
2022-09-20,695823.000
2022-09-21,690286.000
2022-09-22,682027.000
2022-09-23,697726.000
2022-09-26,705918.000
2022-09-27,683943.000
2022-09-28,661920.000
2022-09-29,658634.000
2022-09-30,635994.000
2022-10-03,630975.000
2022-10-04,617850.000
2022-10-05,622131.000
2022-10-06,612400.000
2022-10-07,611855.000
2022-10-11,614781.000
2022-10-12,583513.000
2022-10-13,578283.000
2022-10-14,574982.000
2022-10-17,651318.000
2022-10-18,655230.000
2022-10-19,640613.000
2022-10-20,635492.000
2022-10-21,624584.000
2022-10-24,636785.000
2022-10-25,659483.000
2022-10-26,636327.000
2022-10-27,625362.000
2022-10-28,621627.000
2022-10-31,596470.000
2022-11-01,551009.000
2022-11-02,552089.000
2022-11-03,524883.000
2022-11-04,524694.000
2022-11-07,530764.000
2022-11-08,545285.000
2022-11-09,517340.000
2022-11-10,510550.000
2022-11-14,524136.000
2022-11-15,482354.000
2022-11-16,472185.000
2022-11-17,465368.000
2022-11-18,469610.000
2022-11-21,476764.000
2022-11-22,512602.000
2022-11-23,492754.000
2022-11-25,510532.000
2022-11-28,517125.000
2022-11-29,506052.000
2022-11-30,532791.000
2022-12-01,458408.000
2022-12-02,434939.000
2022-12-05,440836.000
2022-12-06,411431.000
2022-12-07,410853.000
2022-12-08,358794.000
2022-12-09,357709.000
2022-12-12,370897.000
2022-12-13,343699.000
2022-12-14,342104.000
2022-12-15,448106.000
2022-12-16,467544.000
2022-12-19,482388.000
2022-12-20,450413.000
2022-12-21,434922.000
2022-12-22,429684.000
2022-12-23,431253.000
2022-12-27,430977.000
2022-12-28,409809.000
2022-12-29,412900.000
2022-12-30,446685.000
2023-01-03,386114.000
2023-01-04,379620.000
2023-01-05,379653.000
2023-01-06,375694.000
2023-01-09,385220.000
2023-01-10,368000.000
2023-01-11,346426.000
2023-01-12,310363.000
2023-01-13,321572.000
2023-01-17,398974.000
2023-01-18,377500.000
2023-01-19,455623.000
2023-01-20,454615.000
2023-01-23,471005.000
2023-01-24,579841.000
2023-01-25,572622.000
2023-01-26,568553.000
2023-01-27,567827.000
2023-01-30,579826.000
2023-01-31,567908.000
2023-02-01,500852.000
2023-02-02,506179.000
2023-02-03,477618.000
2023-02-06,489948.000
2023-02-07,528118.000
2023-02-08,495838.000
2023-02-09,494252.000
2023-02-10,490201.000
2023-02-13,501103.000
2023-02-14,526992.000
2023-02-15,439703.000
2023-02-16,479039.000
2023-02-17,475675.000
2023-02-21,508286.000
2023-02-22,451307.000
2023-02-23,363666.000
2023-02-24,381671.000
2023-02-27,394017.000
2023-02-28,415005.000
2023-03-01,351015.000
2023-03-02,355232.000
2023-03-03,327193.000
2023-03-06,340182.000
2023-03-07,344724.000
2023-03-08,311731.000
2023-03-09,246969.000
2023-03-10,208074.000
2023-03-13,227312.000
2023-03-14,253921.000
2023-03-15,277643.000
2023-03-16,285108.000
2023-03-17,280148.000
2023-03-20,267101.000
2023-03-21,224604.000
2023-03-22,199856.000
2023-03-23,192910.000
2023-03-24,187365.000
2023-03-27,200926.000
2023-03-28,166348.000
2023-03-29,162758.000
2023-03-30,194336.000
2023-03-31,177692.000
2023-04-03,173105.000
2023-04-04,140347.000
2023-04-05,140688.000
2023-04-06,112965.000
2023-04-07,110822.000
2023-04-10,125004.000
2023-04-11,107469.000
2023-04-12,86554.000
2023-04-13,99488.000
2023-04-14,134890.000
2023-04-17,144079.000
2023-04-18,252552.000
2023-04-19,265095.000
2023-04-20,279942.000
2023-04-21,280912.000
2023-04-24,307101.000
2023-04-25,315930.000
2023-04-26,296209.000
2023-04-27,293717.000
2023-04-28,316381.000
2023-05-01,238463.000
2023-05-02,214882.000
2023-05-03,188309.000
2023-05-04,208666.000
2023-05-05,206714.000
2023-05-08,215133.000
2023-05-09,184915.000
2023-05-10,154808.000
2023-05-11,143314.000
2023-05-12,139944.000
2023-05-15,87431.000
2023-05-16,94629.000
2023-05-17,68332.000
2023-05-18,57341.000
2023-05-19,60656.000
2023-05-22,68335.000
2023-05-23,76546.000
2023-05-24,49473.000
2023-05-25,38837.000
2023-05-26,54493.000
2023-05-30,37357.000
2023-05-31,48512.000
2023-06-01,22892.000
2023-06-02,23368.000
2023-06-05,71218.000
2023-06-06,71577.000
2023-06-07,77500.000
2023-06-08,87972.000
2023-06-09,86001.000
2023-06-12,100939.000
2023-06-13,133059.000
2023-06-14,134857.000
2023-06-15,250417.000
2023-06-16,266875.000
2023-06-20,327925.000
2023-06-21,292106.000
2023-06-22,366505.000
2023-06-23,377384.000
2023-06-26,388777.000
2023-06-27,437999.000
2023-06-28,408561.000
2023-06-29,465122.000
2023-06-30,402394.000
2023-07-03,394457.000
2023-07-05,446864.000
2023-07-06,513410.000
2023-07-07,504990.000
2023-07-10,511777.000
2023-07-11,542784.000
2023-07-12,517418.000
2023-07-13,522700.000
2023-07-14,521622.000
2023-07-17,531417.000
2023-07-18,561519.000
2023-07-19,537441.000
2023-07-20,537869.000
2023-07-21,532834.000
2023-07-24,545014.000
2023-07-25,573898.000
2023-07-26,549897.000
2023-07-27,551631.000
2023-07-28,549904.000
2023-07-31,501828.000
2023-08-01,458113.000
2023-08-02,460926.000
2023-08-03,445120.000
2023-08-04,441481.000
2023-08-07,451335.000
2023-08-08,458998.000
2023-08-09,432262.000
2023-08-10,450098.000
2023-08-11,451362.000
2023-08-14,463127.000
2023-08-15,398438.000
2023-08-16,384814.000
2023-08-17,408836.000
2023-08-18,404968.000
2023-08-21,415598.000
2023-08-22,441138.000
2023-08-23,416031.000
2023-08-24,438914.000
2023-08-25,461257.000
2023-08-28,472203.000
2023-08-29,500010.000
2023-08-30,500702.000
2023-08-31,541843.000
2023-09-01,446118.000
2023-09-05,488303.000
2023-09-06,481552.000
2023-09-07,509104.000
2023-09-08,509313.000
2023-09-11,525312.000
2023-09-12,550831.000
2023-09-13,537364.000
2023-09-14,582843.000
2023-09-15,632855.000
2023-09-18,664013.000
2023-09-19,674935.000
2023-09-20,661717.000
2023-09-21,682503.000
2023-09-22,674158.000
2023-09-25,689999.000
2023-09-26,700881.000
2023-09-27,672142.000
2023-09-28,673174.000
2023-09-29,656889.000
2023-10-02,677935.000
